,chile,cover,fraud_car_insur,fraud_creditcard,korean5,mammography,piechart2,pizzacutter1,satellite,winequality,AP,F1MAX,AP,F1MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ap_srf_puhd,ap_rf_puhd,ap_rf,ap_dt_puhd,ap_dt_hd,ap_upu,ap_nnpu,ap_imbnnpu,ap_pubag,ap_elkno,ap_spyem,ap_welog,ap_rnkpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chile,0.71500907,0.696421216,0.642331692,0.405953237,0.383659334,0.633405422,0.70914883,0.701678686,0.340469613,0.374948294,0.097850616,0.371952104,0.391562636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover,0.978976101,0.976983124,0.972675009,0.800840629,0.804228123,0.915161252,0.964705478,0.966146607,0.869800261,0.951589515,0.403753141,0.960833543,0.96030768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fraud_car_insur,0.209968088,0.208306452,0.17587365,0.180090031,0.177479717,0.210261544,0.191302349,0.189916457,0.124203085,0.089868184,0.116543991,0.175244609,0.177279835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fraud_creditcard,0.770797197,0.776420901,0.71955,0.398177273,0.371366667,0.722859483,0.744601346,0.748326309,0.495107241,0.371473756,0.034366256,0.344931436,0.522737709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
korean5,0.7823381,0.800358726,0.671540798,0.742679556,0.735923617,0.769501593,0.795151083,0.800186177,0.164127104,0.068708924,0.083411649,0.156329953,0.154371207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mammography,0.680833686,0.689515988,0.609072994,0.478790466,0.485740778,0.630429145,0.645839936,0.641836256,0.270339153,0.543329286,0.292812967,0.535491304,0.601530031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piechart2,0.095575283,0.077517585,0.116267583,0.060136087,0.044101152,0.109970472,0.103760239,0.125799154,0.10919789,0.079829652,0.060858389,0.09320628,0.061833543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pizzacutter1,0.383787709,0.380123585,0.363778614,0.178471824,0.178086328,0.308199046,0.369005967,0.360785858,0.2866447,0.304512488,0.161766069,0.33144497,0.284045903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
